Sequence	Result
ASKTVTC.ASHL	CLEAVED
ALSVTLC.ASHL	CLEAVED
ALNFMPC.ASHL	CLEAVED
APTFRQC.ASHL	CLEAVED
AFDIEEC.ASHL	CLEAVED
AHYTQNC.ASHL	CLEAVED
ALMLMTC.ASHL	CLEAVED
ASSTENC.ASHL	CLEAVED
ATTQITC.ASHL	CLEAVED
AHTTQVC.ASHL	CLEAVED
AHTTQTC.ASHL	CLEAVED
AHTTQQC.ASHL	CLEAVED
AHTTQYC.ASHL	CLEAVED
AVRLHAC.ASHL	CLEAVED
AEEMDDC.ASHL	CLEAVED
AEEMDEC.ASHL	CLEAVED
AWFSHTC.ASHL	CLEAVED
AYTDMNC.ASHL	CLEAVED
ATSLLPC.ASHL	CLEAVED
AIDEVNC.ASHL	CLEAVED
AATVQPC.ASHL	CLEAVED
ASTYQEC.ASHL	CLEAVED
AMSTYSC.ASHL	CLEAVED
AQETINC.ASHL	CLEAVED
AATTHCC.ASHL	CLEAVED
ASTLINC.ASHL	CLEAVED
AVDMDDC.ASHL	CLEAVED
AVDMDEC.ASHL	CLEAVED
AVDMDVC.ASHL	CLEAVED
AHPDQLC.ASHL	CLEAVED
AHNLAPC.ASHL	CLEAVED
AIHTKTC.ASHL	CLEAVED
AQIRTLC.ASHL	CLEAVED
ATYVTSC.ASHL	CLEAVED
AEPLLAC.ASHL	CLEAVED
AMMSLPC.ASHL	CLEAVED
AESQEAC.ASHL	CLEAVED
AHNTYPC.ASHL	CLEAVED
ARSMSPC.ASHL	CLEAVED
AMYMQTC.ASHL	CLEAVED
AGHVINC.ASHL	CLEAVED
AHNTYLC.ASHL	CLEAVED
ADTLTTC.ASHL	CLEAVED
ADTLTPC.ASHL	CLEAVED
APQSITC.ASHL	CLEAVED
ADEFYEC.ASHL	CLEAVED
AHKLLPC.ASHL	CLEAVED
ACMYTLC.ASHL	CLEAVED
ADFNITC.ASHL	CLEAVED
ACPLLSC.ASHL	CLEAVED
ADDMYVC.ASHL	CLEAVED
ADDMYFC.ASHL	CLEAVED
ADDMYEC.ASHL	CLEAVED
ADDMYDC.ASHL	CLEAVED
ADDMYLC.ASHL	CLEAVED
ADCVSNC.ASHL	CLEAVED
AESTSCC.ASHL	CLEAVED
ALLDYAC.ASHL	CLEAVED
ARAPSRC.ASHL	CLEAVED
ADDDENC.ASHL	CLEAVED
ARMVETC.ASHL	CLEAVED
ADPQYDC.ASHL	CLEAVED
ARMEKPC.ASHL	CLEAVED
ATTTHQC.ASHL	CLEAVED
ATTCAPC.ASHL	CLEAVED
AKILTNC.ASHL	CLEAVED
APYTVQC.ASHL	CLEAVED
ATETHTC.ASHL	CLEAVED
AFLTINC.ASHL	CLEAVED
ADKMEEC.ASHL	CLEAVED
ATAISNC.ASHL	CLEAVED
AEINITC.ASHL	CLEAVED
AATTMSC.ASHL	CLEAVED
ARLIMTC.ASHL	CLEAVED
AHVTQAC.ASHL	CLEAVED
AISFSTC.ASHL	CLEAVED
ADTHYVC.ASHL	CLEAVED
APGYRNC.ASHL	CLEAVED
AYELVEC.ASHL	CLEAVED
AYELVDC.ASHL	CLEAVED
AYELVVC.ASHL	CLEAVED
AVTMNTC.ASHL	CLEAVED
ADFILDC.ASHL	CLEAVED
AVTTLMC.ASHL	CLEAVED
AVTTLTC.ASHL	CLEAVED
AFDTDYC.ASHL	CLEAVED
AQAVSPC.ASHL	CLEAVED
ANPTIIC.ASHL	CLEAVED
ANPTINC.ASHL	CLEAVED
AVFLYDC.ASHL	CLEAVED
AVMTQKC.ASHL	CLEAVED
AQTTLTC.ASHL	CLEAVED
AVMTQSC.ASHL	CLEAVED
ALLQTTC.ASHL	CLEAVED
ASIGTKC.ASHL	CLEAVED
ALDIYDC.ASHL	CLEAVED
AAQLQPC.ASHL	CLEAVED
ASLHYPC.ASHL	CLEAVED
APLTLCC.ASHL	CLEAVED
APLTLDC.ASHL	CLEAVED
ASTQHCC.ASHL	CLEAVED
AQRQVPC.ASHL	CLEAVED
ALIVTQC.ASHL	CLEAVED
ATYITEC.ASHL	CLEAVED
ADLMTPC.ASHL	CLEAVED
AFDIVDC.ASHL	CLEAVED
ANQETNC.ASHL	CLEAVED
ATKYHTC.ASHL	CLEAVED
ALTLQTC.ASHL	CLEAVED
ARNVYMC.ASHL	CLEAVED
ATYSLFC.ASHL	CLEAVED
ATYSLAC.ASHL	CLEAVED
ALNEFNC.ASHL	CLEAVED
ARRYTTC.ASHL	CLEAVED
APYLKTC.ASHL	CLEAVED
ANQNKKC.ASHL	CLEAVED
ANSEHQC.ASHL	CLEAVED
AYRTETC.ASHL	CLEAVED
AYTCLSC.ASHL	CLEAVED
ATHTFLC.ASHL	CLEAVED
AYVIVDC.ASHL	CLEAVED
AYTERPC.ASHL	CLEAVED
ADVLDEC.ASHL	CLEAVED
ADVLDDC.ASHL	CLEAVED
ADVLDVC.ASHL	CLEAVED
ADVLDYC.ASHL	CLEAVED
ACVLTAC.ASHL	CLEAVED
AMTIISC.ASHL	CLEAVED
ASTTHWC.ASHL	CLEAVED
ATRHYPC.ASHL	CLEAVED
AFDFDDC.ASHL	CLEAVED
ANATVNC.ASHL	CLEAVED
APTTQTC.ASHL	CLEAVED
APTNHVC.ASHL	CLEAVED
ACITHPC.ASHL	CLEAVED
AITYAQC.ASHL	CLEAVED
AMYTLNC.ASHL	CLEAVED
ACHTALC.ASHL	CLEAVED
AMYATHC.ASHL	CLEAVED
ACTEEKC.ASHL	CLEAVED
APNLSEC.ASHL	CLEAVED
AEKWCRC.ASHL	CLEAVED
AYITMCC.ASHL	CLEAVED
AMQLQNC.ASHL	CLEAVED
ATRTQEC.ASHL	CLEAVED
AIHTYNC.ASHL	CLEAVED
AYDMEDC.ASHL	CLEAVED
AYDMEEC.ASHL	CLEAVED
AYDMEYC.ASHL	CLEAVED
APITLHC.ASHL	CLEAVED
AYDMEVC.ASHL	CLEAVED
AYLYTQC.ASHL	CLEAVED
AVMYQPC.ASHL	CLEAVED
AYYMYYC.ASHL	CLEAVED
AYYMYVC.ASHL	CLEAVED
APHCTLC.ASHL	CLEAVED
AYYMYEC.ASHL	CLEAVED
ADYSLIC.ASHL	CLEAVED
ADNMYDC.ASHL	CLEAVED
AMSKDMC.ASHL	CLEAVED
ADDIDDC.ASHL	CLEAVED
ADDIDEC.ASHL	CLEAVED
ADDIDVC.ASHL	CLEAVED
ADDIDYC.ASHL	CLEAVED
AHHTMPC.ASHL	CLEAVED
AGPHNRC.ASHL	CLEAVED
AGKEHTC.ASHL	CLEAVED
ANITTQC.ASHL	CLEAVED
ADYISEC.ASHL	CLEAVED
ANTKIPC.ASHL	CLEAVED
AYSIVHC.ASHL	CLEAVED
AQPATPC.ASHL	CLEAVED
ADVILDC.ASHL	CLEAVED
AYVQENC.ASHL	CLEAVED
ARTFTLC.ASHL	CLEAVED
ALAWTSC.ASHL	CLEAVED
AHTKINC.ASHL	CLEAVED
AHKITDC.ASHL	CLEAVED
AHKITQC.ASHL	CLEAVED
AHTKISC.ASHL	CLEAVED
AMTPYPC.ASHL	CLEAVED
AYVMYVC.ASHL	CLEAVED
ADDFYEC.ASHL	CLEAVED
ADDFYVC.ASHL	CLEAVED
ANYFNNC.ASHL	CLEAVED
AYYTHNC.ASHL	CLEAVED
APGLTLC.ASHL	CLEAVED
AQYYTLC.ASHL	CLEAVED
AYFLYDC.ASHL	CLEAVED
ASHQIPC.ASHL	CLEAVED
AGATTNC.ASHL	CLEAVED
AHNVSLC.ASHL	CLEAVED
AHETSEC.ASHL	CLEAVED
ASWFIPC.ASHL	CLEAVED
AASHHMC.ASHL	CLEAVED
ACAPKNC.ASHL	CLEAVED
AKGTGPC.ASHL	CLEAVED
AEVLNNC.ASHL	CLEAVED
ASSTVTC.ASHL	CLEAVED
AAATIHC.ASHL	CLEAVED
AQSETPC.ASHL	CLEAVED
AHYTDLC.ASHL	CLEAVED
AHYTDPC.ASHL	CLEAVED
APHWLKC.ASHL	CLEAVED
AQAIRNC.ASHL	CLEAVED
AQAIRPC.ASHL	CLEAVED
ADDMQDC.ASHL	CLEAVED
ADDMQVC.ASHL	CLEAVED
AHTYHQC.ASHL	CLEAVED
AHTYHSC.ASHL	CLEAVED
AHTYHTC.ASHL	CLEAVED
ASALRPC.ASHL	CLEAVED
APPCTEC.ASHL	CLEAVED
APGQFMC.ASHL	CLEAVED
APTLTQC.ASHL	CLEAVED
ACYMQKC.ASHL	CLEAVED
AYMTTAC.ASHL	CLEAVED
ATQMHPC.ASHL	CLEAVED
APSAMCC.ASHL	CLEAVED
ATTCIDC.ASHL	CLEAVED
ANSLSPC.ASHL	CLEAVED
AYSTHHC.ASHL	CLEAVED
AIMHDPC.ASHL	CLEAVED
APQVMTC.ASHL	CLEAVED
AYVTDDC.ASHL	CLEAVED
AQPIKPC.ASHL	CLEAVED
ASFTTQC.ASHL	CLEAVED
AYVYQQC.ASHL	CLEAVED
AVHTICC.ASHL	CLEAVED
ANAPIYC.ASHL	CLEAVED
ATYLHPC.ASHL	CLEAVED
AMTTVTC.ASHL	CLEAVED
AFDIDDC.ASHL	CLEAVED
AWTTLSC.ASHL	CLEAVED
AYEMDVC.ASHL	CLEAVED
AHYMFDC.ASHL	CLEAVED
AYEMDYC.ASHL	CLEAVED
AYEMDDC.ASHL	CLEAVED
AYEMDEC.ASHL	CLEAVED
ADTTNRC.ASHL	CLEAVED
ARRNQQC.ASHL	CLEAVED
AVDLEEC.ASHL	CLEAVED
AKSTSNC.ASHL	CLEAVED
ADQYSHC.ASHL	CLEAVED
ASENIYC.ASHL	CLEAVED
AQDLSEC.ASHL	CLEAVED
ADQYSSC.ASHL	CLEAVED
AHAPQPC.ASHL	CLEAVED
AFDTLNC.ASHL	CLEAVED
AQTQFPC.ASHL	CLEAVED
AKETAIC.ASHL	CLEAVED
AYVMLEC.ASHL	CLEAVED
AEQIHTC.ASHL	CLEAVED
ATESIVC.ASHL	CLEAVED
APTHLPC.ASHL	CLEAVED
AHEFIPC.ASHL	CLEAVED
AALETEC.ASHL	CLEAVED
AYVLVEC.ASHL	CLEAVED
AVYIYVC.ASHL	CLEAVED
AVYIYDC.ASHL	CLEAVED
AVYIYEC.ASHL	CLEAVED
AQITMTC.ASHL	CLEAVED
APITQLC.ASHL	CLEAVED
AIQFLPC.ASHL	CLEAVED
AEQSHTC.ASHL	CLEAVED
AWAETPC.ASHL	CLEAVED
AWTLNTC.ASHL	CLEAVED
ATAEHYC.ASHL	CLEAVED
ATLTLNC.ASHL	CLEAVED
ATLTLTC.ASHL	CLEAVED
AWTQAPC.ASHL	CLEAVED
ALYPLPC.ASHL	CLEAVED
ANHMFPC.ASHL	CLEAVED
ASLCTPC.ASHL	CLEAVED
ATWFTCC.ASHL	CLEAVED
AAPIETC.ASHL	CLEAVED
AVTSSKC.ASHL	CLEAVED
ASNTILC.ASHL	CLEAVED
ALQARPC.ASHL	CLEAVED
AFKTEQC.ASHL	CLEAVED
ADVLLDC.ASHL	CLEAVED
AGDTQPC.ASHL	CLEAVED
APYHCNC.ASHL	CLEAVED
AEVDIEC.ASHL	CLEAVED
AHYMHDC.ASHL	CLEAVED
AHNEISC.ASHL	CLEAVED
APKTVTC.ASHL	CLEAVED
AAYTQTC.ASHL	CLEAVED
ASRLTQC.ASHL	CLEAVED
ASRLTNC.ASHL	CLEAVED
ASTLHCC.ASHL	CLEAVED
ALRNHQC.ASHL	CLEAVED
APRSIDC.ASHL	CLEAVED
AYLLTLC.ASHL	CLEAVED
APSTRNC.ASHL	CLEAVED
AVFTHTC.ASHL	CLEAVED
ANRLTLC.ASHL	CLEAVED
ALFNLSC.ASHL	CLEAVED
ADDILYC.ASHL	CLEAVED
ANTPIDC.ASHL	CLEAVED
ADDILVC.ASHL	CLEAVED
AQAYSNC.ASHL	CLEAVED
ADDILDC.ASHL	CLEAVED
ADDILEC.ASHL	CLEAVED
ARTTLMC.ASHL	CLEAVED
ALPRPGC.ASHL	CLEAVED
AHCTMMC.ASHL	CLEAVED
ASTIMTC.ASHL	CLEAVED
AYDDMNC.ASHL	CLEAVED
AVIVLPC.ASHL	CLEAVED
AKHLVTC.ASHL	CLEAVED
AVSDIPC.ASHL	CLEAVED
ADHMEEC.ASHL	CLEAVED
APHSVTC.ASHL	CLEAVED
AQTMTLC.ASHL	CLEAVED
AYWTQNC.ASHL	CLEAVED
AFFIDDC.ASHL	CLEAVED
ADFLEDC.ASHL	CLEAVED
ANQLNLC.ASHL	CLEAVED
AHAIITC.ASHL	CLEAVED
ATKTHTC.ASHL	CLEAVED
ATTTDMC.ASHL	CLEAVED
ATTTDNC.ASHL	CLEAVED
AWSNSNC.ASHL	CLEAVED
AHTTAVC.ASHL	CLEAVED
AHTTATC.ASHL	CLEAVED
AAEVIPC.ASHL	CLEAVED
AWSSMTC.ASHL	CLEAVED
ASEQKQC.ASHL	CLEAVED
APTPLNC.ASHL	CLEAVED
APTPLSC.ASHL	CLEAVED
ASTTLYC.ASHL	CLEAVED
ASQFSNC.ASHL	CLEAVED
ANTFAQC.ASHL	CLEAVED
ADDTITC.ASHL	CLEAVED
AATLTPC.ASHL	CLEAVED
AQCLTDC.ASHL	CLEAVED
AQWTRIC.ASHL	CLEAVED
APTLQTC.ASHL	CLEAVED
APTLQPC.ASHL	CLEAVED
AHKTHEC.ASHL	CLEAVED
ADLLDDC.ASHL	CLEAVED
AASIIPC.ASHL	CLEAVED
ADEINTC.ASHL	CLEAVED
AGQSVTC.ASHL	CLEAVED
AISAIPC.ASHL	CLEAVED
AIKTQVC.ASHL	CLEAVED
AFYMHDC.ASHL	CLEAVED
AHNLQTC.ASHL	CLEAVED
ATKTSYC.ASHL	CLEAVED
ARQTIAC.ASHL	CLEAVED
AQRFTPC.ASHL	CLEAVED
ASKLTLC.ASHL	CLEAVED
ALTHVTC.ASHL	CLEAVED
AHYTLPC.ASHL	CLEAVED
AHYTLNC.ASHL	CLEAVED
AAWNLTC.ASHL	CLEAVED
AQAELPC.ASHL	CLEAVED
AQYTHPC.ASHL	CLEAVED
APVDIVC.ASHL	CLEAVED
ALSEHAC.ASHL	CLEAVED
AYTQQNC.ASHL	CLEAVED
AYFLDDC.ASHL	CLEAVED
AYFLDYC.ASHL	CLEAVED
APTEAHC.ASHL	CLEAVED
APPCVLC.ASHL	CLEAVED
AQVIKPC.ASHL	CLEAVED
ALQSIAC.ASHL	CLEAVED
APLAVTC.ASHL	CLEAVED
AAYDINC.ASHL	CLEAVED
AGSTISC.ASHL	CLEAVED
AHSTIVC.ASHL	CLEAVED
AHSTISC.ASHL	CLEAVED
AKILDTC.ASHL	CLEAVED
AHRLHSC.ASHL	CLEAVED
ANDPTTC.ASHL	CLEAVED
AFTTTTC.ASHL	CLEAVED
ATTIDQC.ASHL	CLEAVED
AFTTTLC.ASHL	CLEAVED
AFTTTIC.ASHL	CLEAVED
ASMQEPC.ASHL	CLEAVED
AHNYVPC.ASHL	CLEAVED
ALEHSQC.ASHL	CLEAVED
AVETLIC.ASHL	CLEAVED
ACITFMC.ASHL	CLEAVED
ASFTLSC.ASHL	CLEAVED
ASFTLTC.ASHL	CLEAVED
AHQQIQC.ASHL	CLEAVED
ALSLSTC.ASHL	CLEAVED
ALSLSPC.ASHL	CLEAVED
AYYLDDC.ASHL	CLEAVED
AYEMLEC.ASHL	CLEAVED
AYDLVVC.ASHL	CLEAVED
ADTMQRC.ASHL	CLEAVED
ALYTFSC.ASHL	CLEAVED
AEYENQC.ASHL	CLEAVED
ANDETEC.ASHL	CLEAVED
ANPTYPC.ASHL	CLEAVED
AESTHPC.ASHL	CLEAVED
ANRQCNC.ASHL	CLEAVED
AYVMDYC.ASHL	CLEAVED
AQHNIQC.ASHL	CLEAVED
AVEMLEC.ASHL	CLEAVED
AYVMDVC.ASHL	CLEAVED
AYVMDDC.ASHL	CLEAVED
ASTRTLC.ASHL	CLEAVED
AYNQQLC.ASHL	CLEAVED
AYLIEEC.ASHL	CLEAVED
ACRFIQC.ASHL	CLEAVED
ATCSINC.ASHL	CLEAVED
AHNQNPC.ASHL	CLEAVED
ALIFQTC.ASHL	CLEAVED
ARSINQC.ASHL	CLEAVED
APILTAC.ASHL	CLEAVED
AQLTYNC.ASHL	CLEAVED
APKPLNC.ASHL	CLEAVED
AQITEQC.ASHL	CLEAVED
AYDTDDC.ASHL	CLEAVED
ASDMHTC.ASHL	CLEAVED
ANGWHNC.ASHL	CLEAVED
AHAYETC.ASHL	CLEAVED
ARQWHDC.ASHL	CLEAVED
AYYMFDC.ASHL	CLEAVED
AVTQIPC.ASHL	CLEAVED
ASSGTLC.ASHL	CLEAVED
AHTVHTC.ASHL	CLEAVED
ADYQHQC.ASHL	CLEAVED
AARLNPC.ASHL	CLEAVED
ADYMEEC.ASHL	CLEAVED
ATTMQHC.ASHL	CLEAVED
ANLLCSC.ASHL	CLEAVED
ATNLLAC.ASHL	CLEAVED
ALQTLNC.ASHL	CLEAVED
ATNLLQC.ASHL	CLEAVED
ACMISVC.ASHL	CLEAVED
AAQMHTC.ASHL	CLEAVED
AYMIHDC.ASHL	CLEAVED
AQYQQIC.ASHL	CLEAVED
AYVVSQC.ASHL	CLEAVED
AYRHDSC.ASHL	CLEAVED
AKTSHNC.ASHL	CLEAVED
AYVIFDC.ASHL	CLEAVED
ALSQVTC.ASHL	CLEAVED
ASMDLQC.ASHL	CLEAVED
ASAYFEC.ASHL	CLEAVED
